Price,Area,Bedrooms
90 Lac,2000 sqft,  4 Bedroom Independent House  for sale in Hebbal Bangalore 
3.10 Cr,2800 sqft,"  5 Bedroom Independent House  for sale in Domlur Stage 1, Domlur, Airport Road Bangalore "
4.55 Cr,2400 sqft,"  3 Bedroom Independent House  for sale in Banashankari Stage 2, Banashankari Bangalore "
4 Cr,3000 sqft,"  3 Bedroom Independent House  for sale in Hrbr Layout Block 3, Kalyan Nagar Bangalore "
1.80 Cr,3400 sqft,  10 Bedroom Independent House  for sale in Babusahib Palya Bangalore 
2.70 Cr,7000 sqft,  10 Bedroom Independent House  for sale in Marathahalli Bangalore 
2.25 Cr,2400 sqft,  4 Bedroom Independent House  for sale in Begur Road Bangalore 
5.60 Cr,3850 sqft,  5 Bedroom Independent House  for sale in MLA Layout Bangalore 
4.10 Cr,3000 sqft,  4 Bedroom Independent House  for sale in J P Nagar Bangalore 
2.20 Cr,3200 sqft,"  3 Bedroom Independent House  for sale in Defence Colony-Shakara Nagar, Sahakara Nagar Bangalore "
2.80 Cr,3200 sqft,"  5 Bedroom Independent House  for sale in Nanjappa Layout-Chamundeswari Layout, Jalahalli East Bangalore "
2.25 Cr,2500 sqft,"  3 Bedroom Independent House  for sale in Mahalakshmipuram, Tumkur Road Bangalore "
6.75 Cr,2772 sqft,  4 Bedroom Independent House  for sale in Indira Nagar Bangalore 
2.65 Cr,1200 sqft,  5 Bedroom Independent House  for sale in Nagarbhavi Bangalore 
3 Cr,2000 sqft,  4 Bedroom Independent House  for sale in Rajajinagar Bangalore 
1.45 Cr,3000 sqft,"  5 Bedroom Independent House  for sale in Jp Nagar Phase 7, J P Nagar Bangalore "
1.80 Cr,5000 sqft,"  > 10 Bedroom Independent House  for sale in Hosa Road, off Hosur Road Bangalore "
83 Lac,1000 sqft,  2 Bedroom Independent House  for sale in Vidyaranyapura Bangalore 
10 Cr,5500 sqft,  5 Bedroom Independent House  for sale in Koramangala Block 4 Bangalore 
2.65 Cr,3200 sqft,  4 Bedroom Independent House  for sale in Jakkur Road Bangalore 
1.99 Cr,4000 sqft,"  5 Bedroom Independent House  for sale in Hbr Layout Block 5, HBR Layout Bangalore "
1.90 Cr,3000 sqft,"  			            		 			            			 			            				3 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Dr.Shivaram Karanth Nagar, Jakkuru Bangalore 		                		 						            	         		    		 		           			 		           			                    "
1.85 Cr,1100 sqft,  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Jp Nagar Phase 8 Bangalore 		                		 						            	         		    		 		           			 		           			                    
4.83 Cr,2000 sqft,"  			            		 			            			 			            				3 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Jaya Nagar Block 5, Jayanagar Bangalore 		                		 						            	         		    		 		           			 		           			                    "
3.25 Cr,7500 sqft,  			            		 			            			 			            				> 10 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Hosur Road Bangalore 		                		 						            	         		    		 		           			 		           			                    
2.70 Cr,1950 sqft,  			            		 			            			 			            				5 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Kalyan Nagar Bangalore 		                		 						            	         		    		 		           			 		           			                    
1.40 Cr,700 sqft,"  			            		 			            			 			            				2 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Sampangi Rama Nagar, Sampangi rama Nagar Bangalore 		                		 						            	         		    		 		           			 		           			                    "
1.50 Cr,4000 sqft,  			            		 			            			 			            				7 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Marathahalli Bangalore 		                		 						            	         		    		 		           			 		           			                    
58 Lac,950 sqft,"  			            		 			            			 			            				2 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Ayappa Nagar -Kr Puram, Krishnarajapura Bangalore 		                		 						            	         		    		 		           			 		           			                    "
1.20 Cr,2900 sqft,  			            		 			            			 			            				5 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Virupakshapura Bangalore 		                		 						            	         		    		 		           			 		           			                    
1.40 Cr,1500 sqft,"  			            		 			            			 			            				2 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Jp Nagar Phase 7, J P Nagar Bangalore 		                		 						            	         		    		 		           			 		           			                    "
36 Lac,280 sqft,  			            		 			            			 			            				2 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Halasuru Bangalore 		                		 						            	         		    		 		           			 		           			                    
1.65 Cr,900 sqft,"  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Gandhi Bazar, Basavanagudi Bangalore 		                		 						            	         		    		 		           			 		           			                    "
1 Cr,1800 sqft,"  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Vajarahalli, Vajarahalli Bangalore 		                		 						            	         		    		 		           			 		           			                    "
1.30 Cr,3200 sqft,"  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Singasandra, Hosur Road Bangalore 		                		 						            	         		    		 		           			 		           			                    "
4 Cr,8000 sqft,"  			            		 			            			 			            				9 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Dodda Banaswadi, Banaswadi Bangalore 		                		 						            	         		    		 		           			 		           			                    "
62 Lac,1050 sqft,  			            		 			            			 			            				2 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Akshayanagar Bangalore 		                		 						            	         		    		 		           			 		           			                    
1.90 Cr,1200 sqft,"  			            		 			            			 			            				7 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Hsr Layout Sector 2, HSR Layout Bangalore 		                		 						            	         		    		 		           			 		           			                    "
3.50 Cr,6652 sqft,  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 								 							 		                	 		                		 		                				Whitefield Bangalore 		                		 						            	         		    		 		           			 		           			                    
1.80 Cr,1200 sqft,"  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Hrbr Layout Block 2, Kalyan Nagar, Outer Ring Road Bangalore 		                		 						            	         		    		 		           			 		           			                    "
75 Lac,800 sqft,  			            		 			            			 			            				2 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Varthur Bangalore 		                		 						            	         		    		 		           			 		           			                    
2 Cr,1950 sqft,"  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Hanumantha Nagar, Banashankari Bangalore 		                		 						            	         		    		 		           			 		           			                    "
2.35 Cr,2500 sqft,"  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Hanumantha Nagar, Banashankari Bangalore 		                		 						            	         		    		 		           			 		           			                    "
2.90 Cr,4000 sqft,"  			            		 			            			 			            				7 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Kumaraswamy Layout Stage 1, Kumaraswamy Layout, Outer Ring Road Bangalore 		                		 						            	         		    		 		           			 		           			                    "
2.80 Cr,1100 sqft,"  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Hrbr Layout, Kalyan Nagar, Outer Ring Road Bangalore 		                		 						            	         		    		 		           			 		           			                    "
1.48 Cr,1550 sqft,  			            		 			            			 			            				3 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Gandhi Nagar-Yelahanka Bangalore 		                		 						            	         		    		 		           			 		           			                    
1.90 Cr,1900 sqft,"  			            		 			            			 			            				3 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Hennur, Hennur Bagalur Road Bangalore 		                		 						            	         		    		 		           			 		           			                    "
2.10 Cr,1200 sqft,  			            		 			            			 			            				5 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Basaveshvara Nagar Bangalore 		                		 						            	         		    		 		           			 		           			                    
1.53 Cr,1800 sqft,  			            		 			            			 			            				3 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Shanti Nagar Bangalore 		                		 						            	         		    		 		           			 		           			                    
5.50 Cr,2400 sqft,  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Hsr Layout Bangalore 		                		 						            	         		    		 		           			 		           			                    
13 Cr,6441 sqft,  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Chamrajpet Bangalore 		                		 						            	         		    		 		           			 		           			                    
3.75 Cr,5700 sqft,"  10 Bedroom Independent House  for sale in Pwd Quarteres, HSR Layout Bangalore "
2 Cr,1800 sqft,"  3 Bedroom Independent House  for sale in Richards Town, Richards Town Bangalore "
5.50 Cr,5800 sqft,"  8 Bedroom Independent House  for sale in Indira Nagar Stage 2, Indira nagar Bangalore "
1.65 Cr,4500 sqft,  5 Bedroom Independent House  for sale in Haralur Road Bangalore 
1.50 Cr,4100 sqft,  6 Bedroom Independent House  for sale in Andrahalli Bangalore 
1.60 Cr,2800 sqft,  5 Bedroom Independent House  for sale in Thanisandra Bangalore 
11.65 Cr,6000 sqft,"  5 Bedroom Independent House  for sale in Jaya Nagar Block 1, Jayanagar Bangalore "
1.30 Cr,1200 sqft,  8 Bedroom Independent House  for sale in Yelahanka Bangalore 
80 Lac,1800 sqft,"  3 Bedroom Independent House  for sale in Kumaraswamy Layout Stage 2, Kumaraswamy Layout Bangalore "
3.10 Cr,1300 sqft,"  3 Bedroom Independent House  for sale in Judicial Layout, Yelahanka Bangalore "
3.80 Cr,1200 sqft,"  > 10 Bedroom Independent House  for sale in Hsr Layout Sector 7, HSR Layout Bangalore "
89 Lac,1450 sqft,"  3 Bedroom Independent House  for sale in Kaggadasapura, Indira nagar Bangalore "
3 Cr,3600 sqft,"  7 Bedroom Independent House  for sale in Giri Nagar, Banashankari Bangalore "
13.50 Cr,3500 sqft,  5 Bedroom Independent House  for sale in Koramangala Block 1 Bangalore 
2.40 Cr,3000 sqft,"  6 Bedroom Independent House  for sale in Jp Nagar Phase 3, J P Nagar Bangalore "
3.90 Cr,4000 sqft,"  3 Bedroom Independent House  for sale in Indira Nagar Stage 2, Indira nagar Bangalore "
1.50 Cr,1200 sqft,  5 Bedroom Independent House  for sale in Basaveshvara Nagar Bangalore 
1.40 Cr,2450 sqft,  3 Bedroom Independent House  for sale in Bangalore 
1.80 Cr,3000 sqft,  4 Bedroom Independent House  for sale in Rt Nagar Bangalore 
3 Cr,3000 sqft,  6 Bedroom Independent House  for sale in Indira Nagar Bangalore 
3.50 Cr,"12,500 sqft",  > 10 Bedroom Independent House  for sale in Marathahalli Bangalore 
2.25 Cr,1000 sqft,"  2 Bedroom Independent House  for sale in Jeevan Bima Nagar, Airport Road Bangalore "
2.80 Cr,1350 sqft,  3 Bedroom Independent House  for sale in Girinagar Bangalore 
35 Lac,800 sqft,"  2 Bedroom Independent House  for sale in Domsandra, Krishnarajapura Bangalore "
1.75 Cr,2800 sqft,"  4 Bedroom Independent House  for sale in Banashankari Stage 6, Srinivaspura Bangalore "
6.30 Cr,10800 sqft,  > 10 Bedroom Independent House  for sale in Whitefield Bangalore 
3.13 Cr,3000 sqft,"  7 Bedroom Independent House  for sale in Hrbr Layout, Kalyan Nagar, Outer Ring Road Bangalore "
1.70 Cr,1100 sqft,"  6 Bedroom Independent House  for sale in Banashankari Stage 3, Banashankari Bangalore "
84 Lac,1550 sqft,"  4 Bedroom Independent House  for sale in Hoysalanagar, Hormavu Bangalore "
2.30 Cr,4000 sqft,  5 Bedroom Independent House  for sale in Bangalore 
2.30 Cr,1900 sqft,  5 Bedroom Independent House  for sale in Aecs Layout Block A Bangalore 
8.50 Cr,12000 sqft,  9 Bedroom Independent House  for sale in Frazer Town Bangalore 
2.50 Cr,1680 sqft,  3 Bedroom Independent House  for sale in Basaveshvara Nagar Bangalore 
3.15 Cr,1000 sqft,"  3 Bedroom Independent House  for sale in Jaya Nagar Block 8, Jayanagar Bangalore "
76 Lac,1400 sqft,  2 Bedroom Independent House  for sale in Dasarahalli Bangalore 
2 Cr,1200 sqft,  5 Bedroom Independent House  for sale in Hesaraghatta Main Road Bangalore 
1.30 Cr,1500 sqft,  2 Bedroom Independent House  for sale in Bangalore 
30 Lac,820 sqft,  2 Bedroom Independent House  for sale in Doddaballapur Bangalore 
1.43 Cr,2000 sqft,"  6 Bedroom Independent House  for sale in Kumaraswamy Layout Stage 1, Kumaraswamy Layout, Outer Ring Road Bangalore "
3 Cr,4000 sqft,  8 Bedroom Independent House  for sale in New Bel Road Bangalore 
2.50 Cr,3000 sqft,"  4 Bedroom Independent House  for sale in Cooke Town, Cooke Town Bangalore "
7.20 Cr,3750 sqft,"  4 Bedroom Independent House  for sale in Indira Nagar Stage 3, Indira nagar Bangalore "
99.8 Lac,663 sqft,  2 Bedroom Independent House  for sale in Frazer Town Bangalore 
2 Cr,3500 sqft,"  4 Bedroom Independent House  for sale in Lingarajapuram, Lingarajapuram, Hennur Main Road Bangalore "
1.60 Cr,820 sqft,"  2 Bedroom Independent House  for sale in Nanjappa Layout-Adugodi, Adugodi Bangalore "
1.80 Cr,4680 sqft,"  10 Bedroom Independent House  for sale in Banashankari Stage 3, Banashankari Bangalore "
14.10 Cr,5000 sqft,"  5 Bedroom Independent House  for sale in Dollars Colony-Rmv Extension Stage 2, RMV Extension Stage 2 Bangalore "
2.30 Cr,72000 sqft,"  2 Bedroom Independent House  for sale in Electronics City Phase 1, Electronic City Bangalore "
60 Lac,450 sqft,  3 Bedroom Independent House  for sale in Mathikere Bangalore 
85 Lac,600 sqft,"  6 Bedroom Independent House  for sale in Chola Nagar, Hebbal Bangalore "
90 Lac,1650 sqft,  3 Bedroom Independent House  for sale in Ramamurthy Nagar Bangalore 
2.20 Cr,5500 sqft,"  10 Bedroom Independent House  for sale in Dwarka Nagar, Kattigenahalli Bangalore "
1.75 Cr,4200 sqft,  8 Bedroom Independent House  for sale in Chikkalasandra Bangalore 
1.70 Cr,4000 sqft,"  6 Bedroom Independent House  for sale in Raghavendra Extension, Ramamurthi Nagar Bangalore "
3.75 Cr,3800 sqft,"  4 Bedroom Independent House  for sale in Hbr Layout Block 3, HBR Layout Bangalore "
1.75 Cr,2800 sqft,  4 Bedroom Independent House  for sale in Akshayanagar Bangalore 
4.50 Cr,6000 sqft,"  5 Bedroom Independent House  for sale in Beml Layout-Rr Nagar Stage 5, Rajarajeshwari Nagar Stage 5 Bangalore "
2 Cr,750 sqft,"  > 10 Bedroom Independent House  for sale in Aecs Layout, Marathahalli Bangalore "
90 Lac,600 sqft,  2 Bedroom Independent House  for sale in Rt Nagar Bangalore 
80 Lac,1100 sqft,  3 Bedroom Independent House  for sale in Bagaluru Bangalore 
1 Cr,650 sqft,"  3 Bedroom Independent House  for sale in Yeshvantpur Industrial Suburb, Mahalakshmipuram Bangalore "
2 Cr,950 sqft,"  3 Bedroom Independent House  for sale in Banashankari Stage 3, Banashankari Bangalore "
99 Lac,2200 sqft,  3 Bedroom Independent House  for sale in Jp Nagar Phase 8 Bangalore 
99 Lac,1000 sqft,  2 Bedroom Independent House  for sale in Rajarajeshwari Nagar Bangalore 
1.80 Cr,1600 sqft,"  3 Bedroom Independent House  for sale in Banashankari Stage 2, Banashankari Bangalore "
1.50 Cr,1550 acre,  5 Bedroom Independent House  for sale in Vidyaranyapura Bangalore 
1.39 Cr,1700 sqft,"  4 Bedroom Independent House  for sale in Akshya Nagar, Ramamurthi Nagar Bangalore "
85 Lac,2400 sqft,  4 Bedroom Independent House  for sale in Kalkere Bangalore 
2.70 Cr,2000 sqft,"  6 Bedroom Independent House  for sale in Jp Nagar Phase 2, J P Nagar Bangalore "
1.35 Cr,1800 sqft,"  5 Bedroom Independent House  for sale in Kanaka Nagar, Hebbal Bangalore "
1.75 Cr,1000 sqft,  1 Bedroom Independent House  for sale in Rajaji Nagar Block 1 Bangalore 
1.50 Cr,2100 sqft,"  5 Bedroom Independent House  for sale in Ms Palya, Vidyaranyapura Bangalore "
75 Lac,1100 sqft,  4 Bedroom Independent House  for sale in Benson Town Bangalore 
1.45 Cr,2300 sqft,  3 Bedroom Independent House  for sale in Chikkalasandra Bangalore 
2.90 Cr,1100 sqft,  3 Bedroom Independent House  for sale in Padmanabha Nagar Bangalore 
2.80 Cr,4500 sqft,  4 Bedroom Independent House  for sale in Rajaji Nagar Block 3 Bangalore 
75 Lac,950 sqft,  2 Bedroom Independent House  for sale in Maragondanahalli Bangalore 
2.15 Cr,3300 sqft,  4 Bedroom Independent House  for sale in Nagarbhavi Bangalore 
90 Lac,1950 sqft,"  3 Bedroom Independent House  for sale in Banashankari Stage 6, Srinivaspura Bangalore "
1.50 Cr,1800 sqft,"  4 Bedroom Independent House  for sale in Vishweshwaraiah Layout, Annapurneshwari Nagar Bangalore "
1.50 Cr,3048 sqft,  10 Bedroom Independent House  for sale in Neelasandra Bangalore 
1.10 Cr,3300 sqft,  7 Bedroom Independent House  for sale in Doddabidarakallu Bangalore 
1.70 Cr,1500 sqft,"  3 Bedroom Independent House  for sale in Jp Nagar Phase 7, J P Nagar Bangalore "
1.52 Cr,2800 sqft,"  2 Bedroom Independent House  for sale in Kumaraswamy Layout Stage 2, Kumaraswamy Layout Bangalore "
1.80 Cr,1800 sqft,"  3 Bedroom Independent House  for sale in Kanaka Nagar, Hebbal Bangalore "
94 Lac,2400 sqft,"  3 Bedroom Independent House  for sale in Visl Layout, Talagatta Pura Bangalore "
1.25 Cr,2100 sqft,  3 Bedroom Independent House  for sale in Seegehalli Bangalore 
1.50 Cr,2780 sqft,  3 Bedroom Independent House  for sale in Doddaballapur Bangalore 
3.50 Cr,8000 sqft,  > 10 Bedroom Independent House  for sale in Hebbal Flyover Bangalore 
65 Lac,2000 sqft,  7 Bedroom Independent House  for sale in Mylasandra Bangalore 
98 Lac,1800 sqft,  2 Bedroom Independent House  for sale in Byrathi Bangalore 
1.80 Cr,2200 sqft,"  4 Bedroom Independent House  for sale in Isro Layout, Kumaraswamy Layout Bangalore "
1.10 Cr,2800 sqft,  6 Bedroom Independent House  for sale in Abbigere Bangalore 
3.10 Cr,2145 sqft,  3 Bedroom Independent House  for sale in Jayanagar Bangalore 
46 Lac,1200 sqft,  4 Bedroom Independent House  for sale in Kaggalipura Bangalore 
1.35 Cr,1200 sqft,"  4 Bedroom Independent House  for sale in Akshya Nagar, Ramamurthi Nagar Bangalore "
75 Lac,600 sqft,"  4 Bedroom Independent House  for sale in Neeladri Nagar, Electronic City Bangalore "
2 Cr,1600 sqft,"  4 Bedroom Independent House  for sale in Yelachenahalli, Kumaraswamy Layout, Kanakapura Road Bangalore "
82 Lac,1100 sqft,"  2 Bedroom Independent House  for sale in Bank Colony -Konanakunte, Konanakunte Bangalore "
1.50 Cr,2000 sqft,"  4 Bedroom Independent House  for sale in Devasandra, Mathikere Bangalore "
2.01 Cr,1000 sqft,  2 Bedroom Independent House  for sale in Sanjay Nagar Bangalore 
1.20 Cr,1950 sqft,"  3 Bedroom Independent House  for sale in Horamavu Agara, Hormavu Bangalore "
3.20 Cr,7450 sqft,  House  for sale in Rajarajeshwari Nagar Bangalore 
1.50 Cr,3500 sqft,"  9 Bedroom Independent House  for sale in Ags Layout, Hebbal Bangalore "
1.35 Cr,3700 sqft,"  4 Bedroom Independent House  for sale in Balaji Layout -Hongasandra, Hongasandra Bangalore "
90 Lac,1200 sqft,  4 Bedroom Independent House  for sale in Kamala Nagar Bangalore 
1.60 Cr,1200 sqft,"  2 Bedroom Independent House  for sale in Basavanapura-Kr Puram, Krishnarajapura Bangalore "
4.50 Cr,2080 sqft,  3 Bedroom Independent House  for sale in Lavelle Road Bangalore 
2.75 Cr,2000 sqft,  3 Bedroom Independent House  for sale in Indira Nagar Bangalore 
6.20 Cr,4000 sqft,  4 Bedroom Independent House  for sale in Koramangala Block 3 Bangalore 
61 Lac,1000 sqft,  2 Bedroom Independent House  for sale in Margondanahalli Bangalore 
1.01 Cr,800 sqft,"  3 Bedroom Independent House  for sale in Shampura, Kaval Byrasandra Bangalore "
3.50 Cr,3800 sqft,  5 Bedroom Independent House  for sale in Devanahalli Bangalore 
82 Lac,1100 sqft,  2 Bedroom Independent House  for sale in Thambu Chetty Palya Bangalore 
1.75 Cr,1200 sqft,"  3 Bedroom Independent House  for sale in St. Thomas Town, Kadugondanahalli Bangalore "
75 Lac,840 sqft,  2 Bedroom Independent House  for sale in Horamavu Bangalore 
1.30 Cr,2520 sqft,  4 Bedroom Independent House  for sale in Bangalore 
1.50 Cr,3500 sqft,  6 Bedroom Independent House  for sale in Bapuji Nagar Bangalore 
3.50 Cr,3000 sqft,"  3 Bedroom Independent House  for sale in Isro Layout, Kumaraswamy Layout Bangalore "
1.35 Cr,1800 sqft,"  3 Bedroom Independent House  for sale in Poorna Pragna Layout, Banashankari Bangalore "
48.8 Lac,764 sqft,  2 Bedroom Independent House  for sale in Kogilu Bangalore 
93.5 Lac,600 sqft,"  5 Bedroom Independent House  for sale in Rachenahalli, Thanisandra Bangalore "
2.40 Cr,1500 sqft,"  8 Bedroom Independent House  for sale in Isro Layout, Kumaraswamy Layout Bangalore "
55 Lac,1200 sqft,  3 Bedroom Independent House  for sale in Devanahalli Bangalore 
1 Cr,2700 sqft,  6 Bedroom Independent House  for sale in Ullalu Bangalore 
1 Cr,1000 sqft,"  3 Bedroom Independent House  for sale in Ganga Nagar Extension, Ganga Nagar Bangalore "
1.40 Cr,1200 sqft,"  3 Bedroom Independent House  for sale in Udaya Nagar, Mahadevapura Bangalore "
1.08 Cr,1500 sqft,  5 Bedroom Independent House  for sale in Bommanahalli Bangalore 
48.7 Lac,630 sqft,"  2 Bedroom Independent House  for sale in Itpl, Whitefield Bangalore "
87 Lac,1400 sqft,"  3 Bedroom Independent House  for sale in Raghavendra Nagar-Kalkere, Kalkere Bangalore "
7.50 Cr,3500 sqft,"  5 Bedroom Independent House  for sale in Ombr Layout, Banaswadi Bangalore "
1.60 Cr,2400 sqft,  2 Bedroom Independent House  for sale in Battarahalli Bangalore 
1.45 Cr,3000 sqft,  4 Bedroom Independent House  for sale in Virupakshapura Bangalore 
1.35 Cr,1300 sqft,"  4 Bedroom Independent House  for sale in Hsr Layout Sector 2, HSR Layout Bangalore "
3.35 Cr,1200 sqft,"  3 Bedroom Independent House  for sale in Rbi Layout, J P Nagar Bangalore "
1 Cr,1700 sqft,  4 Bedroom Independent House  for sale in Banashankari 6th Stage 4th Block Bangalore 
5.25 Cr,4500 sqft,  6 Bedroom Independent House  for sale in Kasturi Nagar Bangalore 
98 Lac,2400 sqft,"  2 Bedroom Independent House  for sale in Vishweshwaraiah Layout, Annapurneshwari Nagar Bangalore "
1.86 Cr,2400 sqft,"  6 Bedroom Independent House  for sale in Hal Stage 2, Indira nagar Bangalore "
1.10 Cr,3000 sqft,  6 Bedroom Independent House  for sale in Abbigere Bangalore 
90 Lac,1300 sqft,  2 Bedroom Independent House  for sale in Horamavu Bangalore 
60 Lac,1200 sqft,"  2 Bedroom Independent House  for sale in Karnataka Housing Board Colony, Maruthi Sevanagar Bangalore "
2.10 Cr,4500 sqft,"  4 Bedroom Independent House  for sale in Jp Nagar Phase 2, J P Nagar Bangalore "
1.50 Cr,2400 sqft,  4 Bedroom Independent House  for sale in Virupakshapura Bangalore 
2.40 Cr,1000 sqft,"  2 Bedroom Independent House  for sale in Hsr Layout Sector 1, HSR Layout Bangalore "
2.80 Cr,2000 sqft,  4 Bedroom Independent House  for sale in Hsr Layout Bangalore 
2.90 Cr,3500 sqft,"  4 Bedroom Independent House  for sale in Hrbr Layout Block 3, Kalyan Nagar Bangalore "
2.20 Cr,4800 sqft,  4 Bedroom Independent House  for sale in Banashankari 6th Stage 1st Block Bangalore 
1.50 Cr,4200 sqft,  4 Bedroom Independent House  for sale in Abbigere Bangalore 
17.50 Cr,7000 sqft,"  5 Bedroom Independent House  for sale in Jayamahal Extension, Jayamahal Bangalore "
1.10 Cr,1620 sqft,  3 Bedroom Independent House  for sale in Lal Bahadur Shastri Nagar Bangalore 
1.38 Cr,1200 sqft,  2 Bedroom Independent House  for sale in Rmv Extension Stage 2 Bangalore 
34 Lac,400 sqft,"  1 Bedroom Independent House  for sale in Omarbagh Layout, Banashankari Bangalore "
72 Lac,2200 sqft,  2 Bedroom Independent House  for sale in Soladevanahalli Bangalore 
2 Cr,2800 sqft,"  6 Bedroom Independent House  for sale in Sultan Palya, Hebbal Bangalore "
1.20 Cr,1100 sqft,  2 Bedroom Independent House  for sale in Jalahalli West Bangalore 
3.50 Cr,6500 sqft,"  10 Bedroom Independent House  for sale in Ideal Homes Township, Rajarajeshwari Nagar Bangalore "
2.80 Cr,683 sqft,"  2 Bedroom Independent House  for sale in Cottonpet, Mysore Road Bangalore "
95 Lac,410 sqft,  4 Bedroom Independent House  for sale in Sivanchetti Gardens Bangalore 
4 Cr,1230 sqft,  3 Bedroom Independent House  for sale in Sahakara Nagar Bangalore 
55 Lac,1080 sqft,  2 Bedroom Independent House  for sale in Bangalore 
3.75 Cr,4000 sqft,"  6 Bedroom Independent House  for sale in West Of Chord Road Stage 2, Nagapura Bangalore "
83 Lac,540 sqft,  3 Bedroom Independent House  for sale in Sivanchetti Gardens Bangalore 
32.5 Lac,910 sqft,  2 Bedroom Independent House  for sale in Bangalore 
1.10 Cr,3040 sqft,  3 Bedroom Independent House  for sale in Nelamangala Bangalore 
