Price,Area,Bedrooms
4 Cr,5000 sqft,"  			            		 			            			 			            				> 10 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 								 							 		                	 		                		 		                				Lakshminarayana Pura, Marathahalli Bangalore 		                		 						            	         		    		 		           			 		           			                    "
2.25 Cr,3000 sqft,  			            		 			            			 			            				5 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 								 							 		                	 		                		 		                				Yelahanka Bangalore 		                		 						            	         		    		 		           			 		           			                    
80 Lac,1475 sqft,  			            		 			            			 			            				3 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Kalkere Bangalore 		                		 						            	         		    		 		           			 		           			                    
1.80 Cr,3200 sqft,  			            		 			            			 			            				3 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Anekal Main Road Bangalore 		                		 						            	         		    		 		           			 		           			                    
20 Cr,"12,000 sqft",  			            		 			            			 			            				8 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 								 							 		                	 		                		 		                				 Bangalore 		                		 						            	         		    		 		           			 		           			                    
65 Lac,1600 sqft,  			            		 			            			 			            				3 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Doddaballapur Bangalore 		                		 						            	         		    		 		           			 		           			                    
1.85 Cr,3800 sqft,  			            		 			            			 			            				6 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Thambuchetty Palya Bangalore 		                		 						            	         		    		 		           			 		           			                    
8.50 Cr,4000 sqft,"  			            		 			            			 			            				4 Bedroom Independent House 			            			 			            			 			            		 			            		 			            	  							 								 		            				for sale in 		            			 								 								 								 							  							 								 								 							 		                	 		                		 		                				Ramagondanahalli-Whitefield, Whitefield Bangalore 		                		 						            	         		    		 		           			 		           			                    "
74 Lac,900 sqft,  2 Bedroom Independent House  for sale in Bannerghatta Main Road Bangalore 
65 Lac,1125 sqft,  2 Bedroom Independent House  for sale in Margondanahalli Bangalore 
4.60 Cr,7000 sqft,  7 Bedroom Independent House  for sale in Hebbal Kempapura Bangalore 
1.70 Cr,3920 sqft,"  7 Bedroom Independent House  for sale in Sri Krishna Garden Layout, Rajarajeshwari Nagar Bangalore "
5 Cr,5500 sqft,  5 Bedroom Independent House  for sale in Hsr Layout Bangalore 
2.25 Cr,1200 sqft,  6 Bedroom Independent House  for sale in Chandra Layout Extension Bangalore 
2.10 Cr,6000 sqft,  10 Bedroom Independent House  for sale in Whitefield Bangalore 
90 Lac,1000 sqft,  3 Bedroom Independent House  for sale in Bommasandra Bangalore 
55 Lac,840 sqft,  2 Bedroom Independent House  for sale in Margondanahalli Bangalore 
5.50 Cr,"15,000 sqft","  House  for sale in Jp Nagar Phase 7, J P Nagar Bangalore "
1.75 Cr,3700 sqft,  8 Bedroom Independent House  for sale in Ullal Main Road Bangalore 
4 Cr,7500 sqft,  9 Bedroom Independent House  for sale in Chandra Layout Extension Bangalore 
82 Lac,1200 sqft,  2 Bedroom Independent House  for sale in Ullal Main Road Bangalore 
3.25 Cr,2425 sqft,"  4 Bedroom Independent House  for sale in Electronics City Phase 1, Electronic City Bangalore "
2.25 Cr,3800 sqft,  5 Bedroom Independent House  for sale in Hebbal Bangalore 
1.65 Cr,1000 sqft,  7 Bedroom Independent House  for sale in Jp Nagar Phase 8 Bangalore 
1.20 Cr,2200 sqft,  2 Bedroom Independent House  for sale in Hebbal Kempapura Bangalore 
13.50 Cr,9000 sqft,  5 Bedroom Independent House  for sale in Bangalore 
92 Lac,1200 sqft,  2 Bedroom Independent House  for sale in Ramamurthy Nagar Bangalore 
1.60 Cr,2800 sqft,"  2 Bedroom Independent House  for sale in Yelachenahalli, Kumaraswamy Layout, Kanakapura Road Bangalore "
61 Lac,850 sqft,  2 Bedroom Independent House  for sale in Bangalore 
40 Lac,500 sqft,  2 Bedroom Independent House  for sale in Thambuchetty Palya Bangalore 
1.40 Cr,2000 sqft,  3 Bedroom Independent House  for sale in Hsr Layout Bangalore 
1.78 Cr,2500 sqft,  4 Bedroom Independent House  for sale in Banaswadi Bangalore 
85 Lac,1752 sqft,  3 Bedroom Independent House  for sale in Yelenahalli Bangalore 
1.95 Cr,3650 sqft,"  5 Bedroom Independent House  for sale in Mcechs Layout, Jakkuru Bangalore "
72 Lac,12 sqft,  2 Bedroom Independent House  for sale in Thambu Chetty Palya Bangalore 
92.4 Lac,1680 sqft,"  3 Bedroom Independent House  for sale in Dr Bendre Layout, Narayanapura Bangalore "
98 Lac,1700 sqft,"  4 Bedroom Independent House  for sale in Chelekare, Kalyan Nagar, Outer Ring Road Bangalore "
1 Cr,1050 sqft,"  2 Bedroom Independent House  for sale in Aditya Nagar-Vidyaranyapura, Vidyaranyapura Bangalore "
99 Lac,600 sqft,  4 Bedroom Independent House  for sale in Banashankari 6th Stage 4th Block Bangalore 
1.90 Cr,3000 sqft,"  6 Bedroom Independent House  for sale in Rk Layout Stage 1, Padmanabha nagar Bangalore "
5.20 Cr,2800 sqft,"  6 Bedroom Independent House  for sale in Indira Nagar Stage 1, Indira nagar Bangalore "
